#,Message,Parent #,Merge Commit,Modified Files
c02a213f8ea8d8873e8045a089fae4ac2637b8b4,scoring.py: Handle entries without initial_reset_timestamp,bd36a91603d5fe10ae6442ad41d264fabea44a32,0,scoring.py
1c816c9fe4c6cf3986890f0a19142bb3c3b08a8f,scoring.py: Handle entries without initial_reset_timestamp,f9422ad0c6685ac27d7c76a5655fc7a3739c91e0,0,scoring.py
2c0b6cfbad8cd8a8067a50c3e15279e4d699d0bd,fix typo in cloning installation,a1e0c2519ef12190727c035ebee3a798f8b5d31f,0,README.rst
bcfefce9a091307596752e4585457659a1a19590,"Merge pull request #2 from domluna/fix-cloning-typo

fix typo in cloning installation",a1e0c2519ef12190727c035ebee3a798f8b5d31f,1,
fa61141a57676b11cab3b0df135fa6898b97abac,Raise a better error for a missing pyglet,bcfefce9a091307596752e4585457659a1a19590,0,rendering.py
ed2c3a1fdc36bc60cbe34f94efbb213e942755bb,README: Fix package name,7d2630b82ef74b04c3a03a6b774a8f7c485a1c58,0,README.rst
cf54e97686dcff5650a04bd82dda7cdc68943bc2,"Fix Tensorflow capitalization

Fixes #5",ed2c3a1fdc36bc60cbe34f94efbb213e942755bb,0,README.rst
5065950a09d2b701907a73cdc405078049312b92,Fix Python3 compat of import dependencies,7d2630b82ef74b04c3a03a6b774a8f7c485a1c58,0,algorithmic_env.py;atari_env.py;go.py;rendering.py;registration.py;test_envs.py;frozen_lake.py;taxi.py;video_recorder.py;api_requestor.py;resource.py
5c371ec620316ddfabe89a840392109ede818df5,Bump atari-py to fix the Atari errors,1fd5af8b4ee7003ad41c8b2da386e2badb73589b,0,setup.py
e8cf5f356cacceb1162115b1b908e19bb4b02de6,Fix missing StringIO import,5c371ec620316ddfabe89a840392109ede818df5,0,go.py
dbde599c177b8f4655cbeb27021b198ad222204a,"monitor.py: Still write manifest if close errors

Before, on a headless server I was losing manifests with:

NullFunctionError: Attempt to call an undefined function glIsFramebuffer, check for bool(glIsFramebuffer) before calling (when closing Ant-v0)",cf54e97686dcff5650a04bd82dda7cdc68943bc2,0,monitor.py;test_monitor.py
b742eaca13cae6ef04d58d3f7d2966ae94dbcdc2,Fix warning,dbde599c177b8f4655cbeb27021b198ad222204a,0,monitor.py
8302c188de0f547a3d1b9fa45d8b34c5d647193c,scoring.py: Correct stats key,b742eaca13cae6ef04d58d3f7d2966ae94dbcdc2,0,scoring.py
3df9a580f73b0b80329efa378346da5fd7562e4e,Fix #9. compatibility for tostring and tobytes,0b34c296b1616aac0e84e6614055b4d7c7f8687c,0,video_recorder.py
d3d23f34555ab0f891d16b8a9118db300023b94c,"Fix readme example, documentation and error messages",0b34c296b1616aac0e84e6614055b4d7c7f8687c,0,README.rst;atari_env.py;go.py;mujoco_env.py;monitor.py
cb9d219a7425797fb19df18780603a7e7423efa8,"Merge pull request #13 from dommueller/fix

Fix readme example, documentation and error messages",a95d7188d6a61eb5e189e0bbc0b638f5ae1cbb4c,1,
64b1b597dd892d61f9a2561fcea4404c7012f888,change exception to if statement to check numpy version,3df9a580f73b0b80329efa378346da5fd7562e4e,0,video_recorder.py
b62415c19459d9e5819b82f464731b166157811d,Fix exception message formatting in Python3,c8f1fd8941df09dd042bbca10f26752dfded505a,0,test_registration.py
f6db41be754fe6082343e045cf7b8db28ddcdb6e,minor fix with CreateBoard,317a2be9938cae4feda2373d77da455babf33237,0,go.py
62a2b450691c1b4801e58fb00a42f10e603ae6b9,"Merge pull request #18 from sergii-gavrylov/patch-1

minor fix with CreateBoard",317a2be9938cae4feda2373d77da455babf33237,1,
1ba67baedd7c58f88de3b9b259b6ce8795b84b01,Fix typo,33f7c78a7c466d5a3acffb3abbebd3e29e162457,0,setup.py
eb7e4c87356714848b3ce97c08a557567b1da991,Don't clumsily reraise exceptions,9dd2f9f3a347a8992c7d5c2e49fb46ae36cb51c9,0,registration.py
c8ada04b340b6d308f7f9f8aa919fd83d2ff13fc,"Fix victory conditions

Old victory condition was ""player is white and white wins."" Added ""player is black and black wins"" and ""opponent resigned.""",100bc82e381b87e9a74b8b6bbecd0b631dffe6aa,0,go.py
cc0e865e58fa2b010a90076012004e5f8ca40aca,"Merge pull request #10 from carpedm20/master

Fix #9. compatibility for tostring and tobytes",100bc82e381b87e9a74b8b6bbecd0b631dffe6aa,1,
431043256bf928aa24b0cbc4cefbe939a9617b4d,rendering.py: Actually interpolate error message,cc0e865e58fa2b010a90076012004e5f8ca40aca,0,rendering.py
bca1b3f913da499d8d2f366848f7584b03e768b9,Fix text env render encodings,bd63f7547eaabb3f0ca6a8d97e4a2e5efe26c0c8,0,frozen_lake.py;taxi.py;utils.py
ffc0ea2a8104650a920aab524c8ddb58e5aefcb6,Fix reset to take initial value,35df2228096da723f30fb05c0f7c86c06bfd0d72,0,cartpole.py
fc3c4e576a459fe213cd88c37c1f686eae0b18fc,Fix warning being raised incorrectly,ec92067852ad062b343a426214425cb9e3c4422d,0,cartpole.py
f7012491df7c64f173f90e79270918e733546e62,"Merge pull request #25 from sherjilozair/obo_error

Fix warning being raised incorrectly",de9551449f96e8bc11c4952794b46bb6e225cd20,1,
4818e1e888de1b6628c653cafd27577b20512932,Fix PR building,de9551449f96e8bc11c4952794b46bb6e225cd20,0,.travis.yml
e55b65af88fb3b79608e0aaee07c232fb873908b,Fix PR building,f7012491df7c64f173f90e79270918e733546e62,0,.travis.yml
ea27839d6de3467094c419740d7cd7e60d43e6fc,"Merge pull request #23 from dommueller/fix

Fix example agent",e55b65af88fb3b79608e0aaee07c232fb873908b,1,
f391a3b6d8bf98a294d975fd11261ae9177a159a,"Merge pull request #29 from wb14123/fix-readme

Add quotes to pip install packages",473cfc149a600761be5d74e2adb291c0df79be85,1,
2dbdaddf93701c751a46da5b877d077b35ae44f6,"Merge pull request #20 from aforr/gym-go

Fix victory conditions",f391a3b6d8bf98a294d975fd11261ae9177a159a,1,
2a3c46da319cb99f9ebec6ff9046c6fef59ba9da,Fixed typo,d0132e6b4c8858413905f197307353cfb829cf76,0,README.rst
47f7f3d360449b5755fd5543594618cb3ee5f9a7,"Merge pull request #31 from radarhere/patch-1

Fixed typo",d0132e6b4c8858413905f197307353cfb829cf76,1,
fd18ec35072a2eff2a77de61e9fbc48fe8eaf565,"Merge remote-tracking branch 'origin/master' into py3

Conflicts:
	gym/envs/atari/atari_env.py",8884b46c18b0a8792d5d9e3f32c665f7c9ed650a,1,
0e31b5b19b30165a43906686ab81f096888346b5,Fix mujoco skipping,4818e1e888de1b6628c653cafd27577b20512932,0,test_envs.py
5983160fc80afb7a53346e7cd954128c2baa6ad7,"Merge pull request #32 from openai/gdb

Fix pull request testing",47f7f3d360449b5755fd5543594618cb3ee5f9a7,1,
02ea974114168fe0d6fbcc1c6c63e6e7a0a86551,Fix README structure,f7f126b95e945d8fe370335b0134a1d6f52381f9,0,README.rst
88ee05f1e01748ce778fa6686b2f6b04ade00db8,fix 'EnvSpec' object has no attribute 'entry_point' when PR (#30),02ea974114168fe0d6fbcc1c6c63e6e7a0a86551,0,
8c864953a4620b89a285bac043669b23c36b2c5e,Disable Python 3's exception chaining when reraising,4e575e7103c9f8d2429e57ebd39bb1bfcb3651a9,0,reraise.py;reraise_impl_py3.py
2030bd46f5f46571857e2661a09c38c26ded9e5a,fix two fix two remaining instances where model.data.qpos/qvel are set directly,3d9ad4f71c6e0f1696b683739a2f4946988b4126,0,inverted_pendulum.py;reacher.py
795640dfe833fe3447b8e381f3ed890d05e9fc41,fix mujoco _reset method,fbb60333b537e79ccb8b0595ca78109bd122f41e,0,mujoco_env.py
7b919677c3ad1df876e2e621bcde59097abec149,fix InvertedPendulum,795640dfe833fe3447b8e381f3ed890d05e9fc41,0,inverted_pendulum.py
db875aa7e4cc2a1ec0bb37b6f335d6b5d51e00f8,Disable 3.5 while tests non-deterministically crash,35ac7c3f74d62e0ffe3e7c811f4a5aaf671ce804,0,.travis.yml
138c1eafad867e203259520c36ff0deb14a038bb,"Merge pull request #44 from lukemetz/lm/errors

added missing import",db875aa7e4cc2a1ec0bb37b6f335d6b5d51e00f8,0,__init__.py
6acd9e55a42799280ad9b9b8a40b09cf0f3f74e4,Correctly handle absent prefix/suffix in reraise,d22f96525ff0e8f0310b7d7823ba4ab2e4b14bb3,0,reraise.py
e45f945afd5de39e50afc26ba2d70f6b2a33e86e,"Python 3 encoding fixes

Closes #43.",e74ed45f56d6fa146d785b88310fbfd6003b81e2,0,video_recorder.py;api.py;http_client.py
b69df1b5f33db855a415855f6595045c1b761404,fix subsampling of videos,cd65b7ecd08ff9470a51a0be80675b3fa882ed7a,0,api.py
386096f60a31acb982b84d225c307f99f3c2cd00,rendering.py: 'color' keyword argument handling fixed,cd65b7ecd08ff9470a51a0be80675b3fa882ed7a,0,rendering.py
a065d5ce7bbb764b1cce7c6f84af998314ebc48f,"Fixed typo (#49)

fix 'outut' to 'output'",b69df1b5f33db855a415855f6595045c1b761404,0,random_agent.py
f478aa7971412c46a501ffe7b42020a71231cbf7,Fix PR tests,a065d5ce7bbb764b1cce7c6f84af998314ebc48f,0,test_envs.py
9e716416e13084986fd3b2ed06fc8e4765953095,fixed bug (frame_shape -> frame.shape) (#50),f478aa7971412c46a501ffe7b42020a71231cbf7,0,video_recorder.py
c62b2da337a55d073567943cd084933985fa0df2,"A few compatibility issues with python3 resolved.
Fixed lot's of issues with the HexEnv.
Added Hex9x9-v0 to registry",59a374f0234c37ac4542e4b206e403cdf34c0899,0,__init__.py;go.py;hex.py;rendering.py;video_recorder.py;api_requestor.py
